	3v
	2.13
0.82	0.0178950561116166
2.46	0
4.1	0
5.74	0.0357901122232332
7.38	0
9.02	0
10.66	0
12.3	0.0336669699727025
13.94	0
15.58	0
17.22	0
18.86	0.0403397027600849
20.5	0
22.14	0
23.78	0
25.42	0.0400363967242948
27.06	0
28.7	0
30.34	0
31.98	0.0403397027600849
33.62	0
35.26	0
36.9	0
38.54	0.0461025174400971
40.18	0
41.82	0
43.46	0.0476190476190476
45.1	0
46.74	0
48.38	0
50.02	0.0473157415832575
51.66	0
53.3	0
54.94	0
56.58	0.0442826812253564
58.22	0
59.86	0
61.5	0
63.14	0.0545950864422202
64.78	0
66.42	0
68.06	0
69.7	0.0500454959053685
71.34	0
72.98	0
74.62	0
76.26	0.0582347588717016
77.9	0
79.54	0
81.18	0.0627843494085532
82.82	0
84.46	0
86.1	0
87.74	0.0682438580527753
89.38	0
91.02	0
92.66	0
94.3	0.0828025477707006
95.94	0
97.58	0
99.22	0
100.86	0.0730967546254171
102.5	0
104.14	0
105.78	0
107.42	0.0706703063390961
109.06	0
110.7	0
112.34	0
113.98	0.0503488019411586
115.62	0
117.26	0
118.9	0.0218380345768881
120.54	0
122.18	0
123.82	0
125.46	0.00940248710949348
127.1	0
128.74	0
130.38	0
132.02	0.00212314225053079
133.66	0
135.3	0
136.94	0
138.58	9.09918107370337E-4
140.22	0
141.86	0
143.5	0
145.14	6.06612071580225E-4
146.78	0
148.42	0
150.06	0
151.7	0
153.34	0
154.98	0
156.62	6.06612071580225E-4
158.26	0
159.9	0
161.54	0
163.18	3.03306035790112E-4
